PAYEE_ID,STANDARD_NAME,LAST_CHARGE_DATE,CHARGE_CT,TOTAL_AMOUNT,PERCENT_REIMBURSE,DISPUTE,CANCEL,REVIEW
P21119-806,GINEEPTELTD,20318,1,-7698,,,,
P21119-52,Spectrum,21114,23,-294868,,,,
P21119-168,SC* STACKSOCIAL,20994,1,-20000,,,,
P21119-217,TESSIE SALT,21100,14,-20986,,,,
P21119-545,Potter's House,20849,1,-26500,,,,
P21119-739,Apple Online,20533,1,478833,,,,
P21119-798,GERTRUDE HAWK,20332,1,-1714,,,,
P21119-814,WL *STEAM,20764,1,-5407,,,,
P21119-56,Revel,20969,2,-6678,,,,
P21119-172,SP FEASTABLES,20299,1,-15238,,,,
P21119-549,T-Mobile,21113,8,-15089,,,,
P21119-670,PwP LUZERN,20288,1,-26127,,,,
P21119-818,Plex.TV,21023,2,-11974,,,,
P21119-9,RingCentral,21099,41,-786769,,,,
P21119-40,Shop Rite,21114,31,-608178,,,,
P21119-229,"Eargo, Inc",20470,1,-255000,,,,
P21119-288,MEREDITH'S BREAD,21021,2,-6625,,,,
P21119-433,Amazon Marketplace,21050,15,192968,,,,
P21119-492,Camelot Realty,21100,5,-1110042,,,,
P21119-606,BREAD &,20513,4,-10480,,,,
P21119-662,RAMSEY CAR,20792,1,-3198,,,,
P21119-48,Dunkin Donuts,21098,39,-42240,,,,
P21119-164,CVSExtraCare,20588,5,-2676,,,,
P21119-213,AplPay REVEL*,20774,16,-58468,,,,
P21119-237,PHONE.COM XXXX5828,20489,1,-2398,,,,
P21119-541,American Airlines,20847,5,-183153,,,,
P21119-735,OCEAN GRILL,20883,1,-60541,,,,
P21119-794,Homewood Suites,20778,2,0,,,,
P21119-810,American Eagle,20454,1,-24408,,,,
P21119-1,Amazon,21109,518,-4292074,,,,
P21119-221,AplPay ROAST'D,20994,2,-3407,,,,
P21119-280,EWR C3,20804,1,-2340,,,,
P21119-425,PHONE.COM XXXX3190,20183,1,-2340,,,,
P21119-484,www.TheEpochTimes.coNEW YORK,21090,24,-12256,,,,
P21119-557,YOUTUBE TV,21104,17,-93410,,,,
P21119-678,Harris Teeter,21081,1,-3672,,,,
P21119-727,Hearst Membership,20943,1,4000,,,,
P21119-786,VendingCustomerService CHULA,20219,2,-950,,,,
P21119-802,HOUSING WORKS,20937,1,-16440,,,,
