PAYEE_ID,STANDARD_NAME,LAST_CHARGE_DATE,CHARGE_CT,TOTAL_AMOUNT,PERCENT_REIMBURSE,DISPUTE,CANCEL,REVIEW
P21119-492,Camelot Realty,10-07-2025,5,-11100.42,,,,
P21119-606,BREAD &,02-28-2024,4,-104.80,,,,
P21119-237,PHONE.COM XXXX5828,02-04-2024,1,-23.98,,,,
P21119-541,American Airlines,01-27-2025,5,-1831.53,,,,
P21119-735,OCEAN GRILL,03-04-2025,1,-605.41,,,,
P21119-794,Homewood Suites,11-19-2024,2,0.00,,,,
P21119-810,American Eagle,12-31-2023,1,-244.08,,,,
P21119-1,Amazon,10-16-2025,518,-42920.74,,,,
P21119-221,AplPay ROAST'D,06-23-2025,2,-34.07,,,,
P21119-280,EWR C3,12-15-2024,1,-23.40,,,,
P21119-425,PHONE.COM XXXX3190,04-04-2023,1,-23.40,,,,
P21119-484,www.TheEpochTimes.coNEW YORK,09-27-2025,24,-122.56,,,,
P21119-557,YOUTUBE TV,10-11-2025,17,-934.10,,,,
P21119-678,Harris Teeter,09-18-2025,1,-36.72,,,,
P21119-727,Hearst Membership,05-03-2025,1,40.00,,,,
P21119-786,VendingCustomerService CHULA,05-10-2023,2,-9.50,,,,
P21119-802,HOUSING WORKS,04-27-2025,1,-164.40,,,,
P21119-826,GANDALFXX CA,06-11-2025,1,-20.00,,,,
P21119-7,Uber,10-22-2025,218,-6292.03,,,,
P21119-178,Sp Techmikeny,09-22-2023,4,10378.42,,,,
P21119-227,MED ALERT,09-20-2025,1,-49.99,,,,
P21119-286,AplPay The,08-04-2025,2,-31.80,,,,
P21119-555,WISEY-ADHD.COM X6714LAS,01-16-2025,8,-479.92,,,,
P21119-725,OF,07-27-2025,2,-15.00,,,,
P21119-784,VINES PIZZA,07-12-2023,1,-16.08,,,,
P21119-800,1-800-Contacts,07-15-2025,1,-207.17,,,,
P21119-824,FUTURE COMMUNICATIONS,07-03-2024,1,-48.99,,,,
P21119-211,THE ATLANTIC,10-03-2025,3,-189.97,,,,
P21119-235,Target,10-15-2025,120,-11750.72,,,,
P21119-439,OPENAI *CHATGPT,10-06-2025,17,-1129.28,,,,
P21119-498,IVIDEON IRVINE,06-13-2023,2,-90.00,,,,
P21119-547,A Medium,10-19-2024,22,-155.00,,,,
P21119-668,Academia,05-14-2025,1,-149.00,,,,
P21119-816,OPENAI SAN,06-19-2025,1,-16.40,,,,
P21119-54,Freeshipping.com Ct,04-01-2025,4,76.00,,,,
P21119-170,Tesla,09-19-2025,3,-168.31,,,,
P21119-219,AplPay SIMPLE,09-21-2025,1,-19.99,,,,
P21119-423,PHONE.COM XXXX1234,10-03-2023,1,-23.69,,,,
P21119-482,PUREHEALTH RESEARCH,11-09-2024,2,-243.00,,,,
P21119-676,Subway,10-06-2024,2,-37.53,,,,
P21119-46,Chipotle,05-01-2025,4,-94.03,,,,
P21119-162,"Rocket Software,",11-22-2024,5,-1701.72,,,,
P21119-431,BP,06-20-2025,16,-436.27,,,,
P21119-490,Pizza Bella,09-01-2023,2,-11.88,,,,
P21119-604,Whole Foods,10-12-2025,17,-3770.94,,,,
P21119-660,Amazon Prime,11-04-2023,1,341.41,,,,
P21119-733,OFFICE OF,11-22-2024,1,-630.00,,,,
P21119-792,VARIETY COFFEE,10-05-2025,1,-3.27,,,,
P21119-808,American Express,12-13-2024,1,-283.47,,,,
P21119-166,Gristedes,05-28-2025,20,-1392.51,,,,
P21119-231,GREENGEEKSXXX-XXX--XXX-7483 DE,10-10-2025,32,-1055.68,,,,
P21119-435,APPLE,10-16-2025,33,-9900.00,,,,
P21119-494,Starbucks,08-28-2025,45,-253.85,,,,
P21119-543,Popular Mechanics,05-21-2025,1,10.00,,,,
P21119-608,Amex Clear,07-11-2025,2,209.00,,,,
P21119-664,NY TIMES,10-01-2025,19,-205.92,,,,
P21119-737,"Ombligo, Inc",09-15-2023,1,-628.02,,,,
P21119-796,VILLAGE BARBER,08-21-2023,2,-124.20,,,,
P21119-812,"American Giant,",01-09-2025,1,-30.36,,,,
P21119-3,Lyft,10-20-2025,602,-17430.41,,,,
P21119-58,GSUITE_CHELSCC@,05-01-2025,12,-158.55,,,,
P21119-174,AplPay LIBERTY,08-19-2025,2,-135.41,,,,
P21119-223,MDC SPECIALTY,08-15-2023,1,-12.06,,,,
P21119-282,Csc Serviceworks,08-12-2025,1,2.20,,,,
P21119-427,PHONE.COM XXXX3514,09-03-2023,1,-23.42,,,,
P21119-486,Capital,07-30-2025,2,-6.85,,,,
P21119-551,Brooks Brothers,09-22-2025,8,-1056.49,,,,
P21119-721,Hearst,04-30-2025,2,-75.00,,,,
P21119-780,PwP CNP*,03-10-2023,1,-5.00,,,,
P21119-820,AF FRUIT,08-05-2025,1,-16.50,,,,
P21119-42,myFICO,09-23-2025,32,-1043.52,,,,
P21119-559,Brown Palace,05-10-2023,1,-664.41,,,,
P21119-600,PwP zubbpaycom,02-25-2025,12,-370.08,,,,
P21119-729,OMNY VENDING*,09-08-2025,2,-37.25,,,,
P21119-788,Giftshophiltonnewyornew York,08-02-2025,1,2.92,,,,
P21119-804,PwP zubbaid.com,04-10-2024,1,-15.45,,,,
P21119-828,Samsclub.com Xx,02-08-2025,2,54.16,,,,
P21119-50,CLAUDE.AI SUBSCRIPTISAN,10-11-2025,47,-1021.88,,,,
P21119-215,Spotify,10-17-2025,41,-407.59,,,,
P21119-239,TWP*SUBXXXX6941 WASHINGTON,03-29-2025,3,-360.00,,,,
P21119-672,AAA MSHIP,08-01-2023,1,-58.00,,,,
P21119-12,MEGA LIMITED,08-08-2025,14,-308.74,,,,
P21119-301,AplPay SULLIVAN,08-03-2023,1,-20.71,,,,
P21119-505,Iqair North,08-09-2024,1,-401.75,,,,
P21119-529,PY *BURGER,11-17-2024,1,-46.53,,,,
P21119-693,Consumer Reports,08-09-2025,3,-177.00,,,,
P21119-758,Allianz,08-18-2025,9,-696.03,,,,
P21119-20,Smoke Shop,03-26-2024,4,-63.76,,,,
P21119-87,AplPay NY,07-17-2025,3,-13.30,,,,
P21119-244,PHONE.COM XXXX8277,06-03-2023,1,-23.40,,,,
P21119-317,SLG MAIN,06-07-2024,1,-11.24,,,,
P21119-373,Tech,09-30-2025,1,-120.00,,,,
P21119-472,XXXX2 -,08-15-2023,2,-91.98,,,,
P21119-28,Delivery.com,09-22-2025,2,-109.35,,,,
P21119-187,SP META,12-01-2024,1,-329.89,,,,
P21119-252,MP MANHATTAN,02-25-2024,1,-25.00,,,,
P21119-456,Omnypyg Ny,08-12-2025,1,2.90,,,,
P21119-521,QUICK CHEK,10-01-2025,16,-357.00,,,,
P21119-750,YEMSANALI GROCERY,03-05-2023,1,-4.68,,,,
P21119-136,PEACOCK*9DDD2 PREMIUNEW,11-04-2024,1,-7.99,,,,
P21119-195,PADDLE.NET* IMAZING,06-17-2024,1,-35.00,,,,
P21119-309,Chili's,01-29-2025,1,-60.00,,,,
P21119-464,PURCHASE INTEREST,10-22-2025,31,-2201.87,,,,
P21119-513,PwP Packt,03-01-2024,4,-100.97,,,,
P21119-742,Yashi Food,08-12-2025,2,0.00,,,,
P21119-766,CLOUD TQZKKV,12-01-2024,1,-0.05,,,,
P21119-83,Exxon,08-03-2025,17,-526.68,,,,
P21119-199,Macy's,07-28-2025,5,-7763.63,,,,
P21119-240,PHONE.COM XXXX8146,08-03-2023,1,-23.41,,,,
P21119-313,PEACOCK*D16B5 PREMIUNEW,03-04-2023,1,-4.99,,,,
P21119-468,X57 FRANKLIN,09-09-2023,5,-100.47,,,,
P21119-517,AXX10BUSD01 MSBILL.INFO,09-28-2025,36,-929.34,,,,
P21119-746,AplPay BWE,06-01-2025,1,-16.20,,,,
